学会タイトル,発表タイトル,発表者,発表者の所属
日本応用数理学会2025年度年会,クリスタライン曲率流によるスパイラル成長の一般化された等高線法を用いた最適化運動アルゴリズム,Tsai Yen-Hsi Richard,The University of Texas at Austin
日本応用数理学会2025年度年会,熱交換および相依存駆動力を組み込んだ結晶粒界運動モデルの最適制御問題,白川 健,千葉大学
日本応用数理学会2025年度年会,熱交換および相依存駆動力を組み込んだ結晶粒界運動モデルの最適制御問題,水野 大樹,千葉大学
日本応用数理学会2025年度年会,熱交換および相依存駆動力を組み込んだ結晶粒界運動モデルの最適制御問題,アンティル ハルビル,George Mason University
日本応用数理学会2025年度年会,3成分燃焼モデルと燃焼界面,出原 浩史,宮崎大学
日本応用数理学会2025年度年会,The multiphase surface-constrained level set method,GINDER Elliot,明治大学
日本応用数理学会2025年度年会,非伸縮条件下におけるイデアル曲線流,岡部 真也,東北大学大学院理学研究科
日本応用数理学会2025年度年会,電気化学反応における周期的沈殿帯形成を記述する数理モデルについて,愛木 豊彦,日本女子大学
日本応用数理学会2025年度年会,電気化学反応における周期的沈殿帯形成を記述する数理モデルについて,林 久史,日本女子大学
日本応用数理学会2025年度年会,電気化学反応における周期的沈殿帯形成を記述する数理モデルについて,垣内 花,日本女子大学大学院
日本応用数理学会2025年度年会,折紙ヘルメットの設計とシミュレーション解析,佐々木 淑恵,明治大学
日本応用数理学会2025年度年会,折紙ヘルメットの設計とシミュレーション解析,戸倉 直,株式会社トクラシミュレーションリサーチ
日本応用数理学会2025年度年会,折紙ヘルメットの設計とシミュレーション解析,萩原 一郎,明治大学
日本応用数理学会2025年度年会,折り構造を応用した音響材料設計の基礎的検討,山崎 桂子,明治大学
日本応用数理学会2025年度年会,折り構造を応用した音響材料設計の基礎的検討,阿部 綾,明治大学
日本応用数理学会2025年度年会,折り構造を応用した音響材料設計の基礎的検討,米 大海,計測エンジニアリング株式会社
日本応用数理学会2025年度年会,折り構造を応用した音響材料設計の基礎的検討,萩原 一郎,明治大学
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,阿部 綾,明治大学
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,山崎 桂子,明治大学
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,笹島 学,フォスター電機（株
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,内田 善照,フォスター電機（株
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,米 大海,計測エンジニアリングシステム（株
日本応用数理学会2025年度年会,新しい解析技術を用いた折紙構造の吸音率の評価（三浦折り構造の低周波域挙動考察）,萩原 一郎,明治大学
日本応用数理学会2025年度年会,ミウラ折り扇を用いた空間・流体・時間軌跡の可視化と身体芸術的応用,杉山 有希子,明治大学
日本応用数理学会2025年度年会,ミウラ折り扇を用いた空間・流体・時間軌跡の可視化と身体芸術的応用,杉山 文子,就実大学
日本応用数理学会2025年度年会,ミウラ折り扇を用いた空間・流体・時間軌跡の可視化と身体芸術的応用,萩原 一郎,明治大学
日本応用数理学会2025年度年会,3次元細胞培養のためのタチ-三浦および野島多面体によるハニカム構造の構築,Diago Luis,（株
日本応用数理学会2025年度年会,3次元細胞培養のためのタチ-三浦および野島多面体によるハニカム構造の構築,安達 悠子,明治大学
日本応用数理学会2025年度年会,3次元細胞培養のためのタチ-三浦および野島多面体によるハニカム構造の構築,萩原 一郎,明治大学
日本応用数理学会2025年度年会,数理的アプローチによる生物模倣ハニカムコアのせん断剛性の解明,羽山 涼介,明治大学
日本応用数理学会2025年度年会,数理的アプローチによる生物模倣ハニカムコアのせん断剛性の解明,石田 祥子,明治大学
日本応用数理学会2025年度年会,◎正五角形二面体の最遠点写像,植田 彩加,龍谷大学
日本応用数理学会2025年度年会,◎正五角形二面体の最遠点写像,山岸 義和,龍谷大学
日本応用数理学会2025年度年会,◎環状帯折りに対する考察,賈 伊陽,東京都市大学
日本応用数理学会2025年度年会,◎環状帯折りに対する考察,三谷 純,筑波大学
日本応用数理学会2025年度年会,◎From 3D Model to 2D Manufacturable Design,Chen Muyan,筑波大学
日本応用数理学会2025年度年会,◎From 3D Model to 2D Manufacturable Design,三谷 純,筑波大学
日本応用数理学会2025年度年会,◎ガウス球上のトレース図による円錐特異点を含む離散可展面のインタラクティブモデリング,堀内 宏輔,筑波大学
日本応用数理学会2025年度年会,◎ガウス球上のトレース図による円錐特異点を含む離散可展面のインタラクティブモデリング,三谷 純,筑波大学
日本応用数理学会2025年度年会,◎概念設計およびプロトタイプ建築設計における 3D 曲線折り紙形状のパラメトリック設計ツール,SAFARY Aida,筑波大学
日本応用数理学会2025年度年会,◎概念設計およびプロトタイプ建築設計における 3D 曲線折り紙形状のパラメトリック設計ツール,Mitani Jun,筑波大学
日本応用数理学会2025年度年会,折り紙のfolded stateにおけるlocal stacking orderを表す幾何的objectとその応用,村井 紘子,奈良女子大学
日本応用数理学会2025年度年会,◎立体化するねじり折りの双安定性に与える自己交差の影響,豊岡 龍弥,東京大学
日本応用数理学会2025年度年会,◎立体化するねじり折りの双安定性に与える自己交差の影響,舘 知宏,東京大学
日本応用数理学会2025年度年会,◎天の川切紙のモード分岐における弾性モデルと角度バネモデルの比較,安達 瑛翔,東京大学
日本応用数理学会2025年度年会,◎天の川切紙のモード分岐における弾性モデルと角度バネモデルの比較,河原 慶嗣,早稲田大学
日本応用数理学会2025年度年会,◎天の川切紙のモード分岐における弾性モデルと角度バネモデルの比較,岩瀬 英治,早稲田大学
日本応用数理学会2025年度年会,◎天の川切紙のモード分岐における弾性モデルと角度バネモデルの比較,舘 知宏,東京大学
日本応用数理学会2025年度年会,◎Exploration of the mountain-valley assignments of rigid origami tessellations,Wichlacz Léo,東京大学
日本応用数理学会2025年度年会,◎Exploration of the mountain-valley assignments of rigid origami tessellations,舘 知宏,東京大学
日本応用数理学会2025年度年会,引っ張り圧縮混合型シェルの形状決定と主応力線による分割,三木 優彰,東京大学
日本応用数理学会2025年度年会,ラプラシアンを明示的に考慮した強化学習エージェントによる三角形分割されたシェル構造の施工順序最適化,林 和希,京都大学大学院工学研究科
日本応用数理学会2025年度年会,ラプラシアンを明示的に考慮した強化学習エージェントによる三角形分割されたシェル構造の施工順序最適化,大崎 純,京都大学大学院工学研究科
日本応用数理学会2025年度年会,◎弾性測地線シザーズによる曲面展開機構の設計とシミュレーション,西本 清里,東京大学
日本応用数理学会2025年度年会,◎弾性測地線シザーズによる曲面展開機構の設計とシミュレーション,舘 知宏,東京大学
日本応用数理学会2025年度年会,◎剛体折紙ユニットを用いた平坦折り可能なトーラスとマスト構造,早川 健太郎,日本大学
日本応用数理学会2025年度年会,◎剛体折紙ユニットを用いた平坦折り可能なトーラスとマスト構造,松尾 孝太郎,東京大学
日本応用数理学会2025年度年会,◎剛体折紙ユニットを用いた平坦折り可能なトーラスとマスト構造,大崎 純,京都大学
日本応用数理学会2025年度年会,ピローボックスの等長変形,本田 淳史,横浜国立大学
日本応用数理学会2025年度年会,ピローボックスの等長変形,小磯 深幸,九州大学
日本応用数理学会2025年度年会,◎メビウス幾何による自己アフィン性に基づく美的曲線の幾何学,熊谷 駿,八戸工業大学
日本応用数理学会2025年度年会,◎メビウス幾何による自己アフィン性に基づく美的曲線の幾何学,梶原 健司,九州大学マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,政田 智秋,九州大学
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,早川 健太郎,日本大学
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,林 和希,京都大学
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,軸丸 芳揮,東洋大学
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,梶原 健司,九州大学マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,◎可積分離散べき函数から構成されるMichell-Prager型トラス構造,横須賀 洋平,鹿児島大学
日本応用数理学会2025年度年会,◎第1種・第2種の膜O曲面について,軸丸 芳揮,東洋大学
日本応用数理学会2025年度年会,城郭石垣の設計法に基づく反り曲線における調和数とディガンマ関数,鈴木 利友,武庫川女子大学
日本応用数理学会2025年度年会,ミウラ折りとヨシムラ折りの間に群がる特異な一般化ミウラ折り,田川 浩之,武庫川女子大学
日本応用数理学会2025年度年会,A Gauge-Theory Framework for Graph Neural Networks,本多 泰理,東洋大学
日本応用数理学会2025年度年会,分数べきFourier変換によるPaley-Wienerの定理とサンプリング定理,鈴木 俊夫,神奈川大学
日本応用数理学会2025年度年会,分数べきFourier変換によるPaley-Wienerの定理とサンプリング定理,香川 智修,大阪電気通信大学
日本応用数理学会2025年度年会,◎古典的数学手法による地球物理データ中の時間変化する空間構造の探究,全 羲用,釜山大学 数学科・未来地球研究所
日本応用数理学会2025年度年会,◎古典的数学手法による地球物理データ中の時間変化する空間構造の探究,金 相一,釜山大学 数学科・未来地球研究所
日本応用数理学会2025年度年会,◎地球科学における古典的手法を超えて：ウェーブレット比較による時空間固有関数フレームワーク,全 羲用,釜山大学 未来地球研究所・数学科
日本応用数理学会2025年度年会,◎地球科学における古典的手法を超えて：ウェーブレット比較による時空間固有関数フレームワーク,金 相一,釜山大学 未来地球研究所・数学科
日本応用数理学会2025年度年会,◎窓Fourier変換と2次元変換を用いた音声ノイズ除去,船渡 由梨,東京理科大学大学院
日本応用数理学会2025年度年会,◎窓Fourier変換と2次元変換を用いた音声ノイズ除去,鈴木 俊夫,神奈川大学
日本応用数理学会2025年度年会,◎窓Fourier変換と2次元変換を用いた音声ノイズ除去,石渡 恵美子,東京理科大学
日本応用数理学会2025年度年会,重み付き正則化項を用いたShearletシステム上でのリングアーティファクト除去について,藤井 克哉,畿央大学
日本応用数理学会2025年度年会,重み付き正則化項を用いたShearletシステム上でのリングアーティファクト除去について,鈴木 俊夫,神奈川大学
日本応用数理学会2025年度年会,重み付き正則化項を用いたShearletシステム上でのリングアーティファクト除去について,藤ノ木 健介,神奈川大学
日本応用数理学会2025年度年会,◎Gradient mapping型停留点評価基準に基づく近接勾配型アルゴリズムに関する一考察,久米 啓太,東京科学大学
日本応用数理学会2025年度年会,◎Gradient mapping型停留点評価基準に基づく近接勾配型アルゴリズムに関する一考察,山田 功,東京科学大学
日本応用数理学会2025年度年会,◎Hölder連続勾配をもつ多目的最適化問題に対する近接勾配法,宮崎 裕貴,日本大学
日本応用数理学会2025年度年会,◎Hölder連続勾配をもつ多目的最適化問題に対する近接勾配法,伊藤 勝,日本大学
日本応用数理学会2025年度年会,◎Hölder連続勾配をもつ多目的最適化問題に対する近接勾配法,柳下 翔太郎,統計数理研究所
日本応用数理学会2025年度年会,◎Iterative Feedback Tuningにおけるバックトラッキングを用いた勾配法,豊田 充,長岡技術科学大学
日本応用数理学会2025年度年会,◎Iterative Feedback Tuningにおけるバックトラッキングを用いた勾配法,増田 士朗,東京都立大学
日本応用数理学会2025年度年会,リーマン多様体上の不等式制約付き 最適化問題に対する信頼領域内点法,小原 光暁,東京大学
日本応用数理学会2025年度年会,リーマン多様体上の不等式制約付き 最適化問題に対する信頼領域内点法,奥野 貴之,成蹊大学
日本応用数理学会2025年度年会,リーマン多様体上の不等式制約付き 最適化問題に対する信頼領域内点法,武田 朗子,"東京大学, 理研AIP"
日本応用数理学会2025年度年会,◎マルチリーダー・フォロワーゲームに対する正則化最適値関数を用いたペナルティ法,堀 篤史,名古屋工業大学 大学院工学研究科
日本応用数理学会2025年度年会,◎マルチリーダー・フォロワーゲームに対する正則化最適値関数を用いたペナルティ法,奥野 貴之,成蹊大学 理工学部
日本応用数理学会2025年度年会,◎マルチリーダー・フォロワーゲームに対する正則化最適値関数を用いたペナルティ法,福田 エレン秀美,京都大学 大学院情報学研究科
日本応用数理学会2025年度年会,◎一般的な距離を用いた近接勾配法 ―global descent lemmaからの解放―,柳下 翔太郎,"統計数理研究所, データサイエンス共同利用基盤施設"
日本応用数理学会2025年度年会,◎一般的な距離を用いた近接勾配法 ―global descent lemmaからの解放―,伊藤 勝,日本大学
日本応用数理学会2025年度年会,Banach空間上の最適化問題に対する安定化逐次二次計画法の局所的二次収束性,山川 雄也,東京都立大学
日本応用数理学会2025年度年会,非線形二次錐相補性問題に対する行列分割を用いた不動点アルゴリズム,林 俊介,法政大学 理工学部
日本応用数理学会2025年度年会,非線形二次錐相補性問題に対する行列分割を用いた不動点アルゴリズム,武内 優樹,法政大学 理工学研究科
日本応用数理学会2025年度年会,A closer target setting approach to SBM model with weight restrictions and production trade-offs,関谷 和之,成蹊大学
日本応用数理学会2025年度年会,A closer target setting approach to SBM model with weight restrictions and production trade-offs,堀 篤史,名古屋工業大学
日本応用数理学会2025年度年会,非線形最適化問題に対する非厳密逐次２次制約２次計画法,矢部 博,山陽小野田市立山口東京理科大学
日本応用数理学会2025年度年会,非線形最適化問題に対する非厳密逐次２次制約２次計画法,中山 舜民,東京理科大学
日本応用数理学会2025年度年会,◎非平滑関数に対する確率的勾配降下法へのチェビシェフ法の適用と収束解析,楊 家宝,武蔵野大学
日本応用数理学会2025年度年会,◎非平滑関数に対する確率的勾配降下法へのチェビシェフ法の適用と収束解析,佐々木 多希子,武蔵野大学
日本応用数理学会2025年度年会,◎混合整数半正定値計画問題に対する2次錐カットアルゴリズム,桒田 拓海,電気通信大学
日本応用数理学会2025年度年会,◎混合整数半正定値計画問題に対する2次錐カットアルゴリズム,村松 正和,電気通信大学
日本応用数理学会2025年度年会,◎混合整数半正定値計画問題に対する2次錐カットアルゴリズム,中山 舜民,東京理科大学
日本応用数理学会2025年度年会,◎均質化法を用いたトポロジー最適化における擬凹性と大域的最適化,西岡 暁,東京科学大学
日本応用数理学会2025年度年会,◎Wasserstein空間上の勾配流によるトポロジー最適化,岡嵜 郁也,東京大学
日本応用数理学会2025年度年会,◎Wasserstein空間上の勾配流によるトポロジー最適化,山田 崇恭,東京大学
日本応用数理学会2025年度年会,◎Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,喜井 大誠,大阪大学
日本応用数理学会2025年度年会,◎Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,矢地 謙太郎,大阪大学
日本応用数理学会2025年度年会,◎Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,寺本 央,関西大学
日本応用数理学会2025年度年会,◎Wasserstein距離に基づくかたちの交叉：進化的トポロジー最適化への展開,藤田 喜久雄,大阪大学
日本応用数理学会2025年度年会,◎楕円型方程式の解による厚みの表現と構造最適化への応用,岩本 直也,福岡工業大学
日本応用数理学会2025年度年会,◎楕円型方程式の解による厚みの表現と構造最適化への応用,岡 大将,福岡工業大学
日本応用数理学会2025年度年会,折り畳みと展開が結合した折紙チューブによる弾性・音響のメタマテリアル,富田 直,株式会社豊田中央研究所
日本応用数理学会2025年度年会,折り畳みと展開が結合した折紙チューブによる弾性・音響のメタマテリアル,野村 壮史,株式会社豊田中央研究所
日本応用数理学会2025年度年会,折り畳みと展開が結合した折紙チューブによる弾性・音響のメタマテリアル,舘 知宏,東京大学
日本応用数理学会2025年度年会,◎無限に長い曲線を短くする,三浦 達哉,京都大学
日本応用数理学会2025年度年会,◎無限に長い曲線を短くする,Rupp Fabian,University of Vienna
日本応用数理学会2025年度年会,◎トポロジー最適化の骨形態学への応用：魚類椎骨の研究を例として,坂下 美咲,東京理科大学
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,香川 渓一郎,北海道大学電子科学研究所
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,奥村 真善美,甲南大学
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,小林 康明,城西大学
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,Wuergezhen Duligengaowa,理化学研究所生命機能科学研究センター
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,森田 梨津子,大阪大学
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,藤原 裕展,理化学研究所生命機能科学研究センター
日本応用数理学会2025年度年会,◎2次元シートから3次元円筒構造へ至る皮膚付属器の形態形成を再現する数理モデル,長山 雅晴,北海道大学電子科学研究所
日本応用数理学会2025年度年会,[企画講演] 深層学習の物理モデリング・シミュレーションへの応用における最近の話題,谷口 隆晴,"神戸大学, 理化学研究所"
日本応用数理学会2025年度年会,◎Neural Operatorによる津波シミュレーションの代理モデル,染矢 真好,東京大学　地震研究所
日本応用数理学会2025年度年会,◎Neural Operatorによる津波シミュレーションの代理モデル,古村 孝志,東京大学　地震研究所
日本応用数理学会2025年度年会,◎無限次元ハミルトン系を学習するための近似的なシンプレクティックニューラル作用素,YEANG MAKARA,神戸大学
日本応用数理学会2025年度年会,◎無限次元ハミルトン系を学習するための近似的なシンプレクティックニューラル作用素,田中 佑典,NTTコミュニケーション科学基礎研究所
日本応用数理学会2025年度年会,◎無限次元ハミルトン系を学習するための近似的なシンプレクティックニューラル作用素,松原 崇,北海道大学
日本応用数理学会2025年度年会,◎無限次元ハミルトン系を学習するための近似的なシンプレクティックニューラル作用素,谷口 隆晴,"神戸大学, 理化学研究所"
日本応用数理学会2025年度年会,[企画講演] 地下熱水系のモデリングを対象としたPhysics-informed neural networksの学習の効率化および多種観測データの統合,石塚 師也,京都大学
日本応用数理学会2025年度年会,◎ポアソン＝ディラック構造を用いた深層学習による連成系のモデル化,コスロービアン ラズミックアルマン,大阪大学
日本応用数理学会2025年度年会,◎ポアソン＝ディラック構造を用いた深層学習による連成系のモデル化,谷口 隆晴,神戸大学
日本応用数理学会2025年度年会,◎ポアソン＝ディラック構造を用いた深層学習による連成系のモデル化,吉村 浩明,早稲田大学
日本応用数理学会2025年度年会,◎ポアソン＝ディラック構造を用いた深層学習による連成系のモデル化,松原 崇,北海道大学
日本応用数理学会2025年度年会,収縮破壊の確率過程と物理情報深層学習による破片サイズ分布推定,伊藤 伸一,東京大学地震研究所
日本応用数理学会2025年度年会,◎言語のための状態空間モデルによるハミルトン力学の時系列予測の試み,徐 百歌,神戸大学大学院理学研究科
日本応用数理学会2025年度年会,◎言語のための状態空間モデルによるハミルトン力学の時系列予測の試み,谷口 隆晴,神戸大学大学院理学研究科
日本応用数理学会2025年度年会,物理情報深層学習に基づく関数空間での事前分布に着目した偏微分方程式パラメータのベイズ推定,縣 亮一郎,海洋研究開発機構
日本応用数理学会2025年度年会,物理情報深層学習に基づく関数空間での事前分布に着目した偏微分方程式パラメータのベイズ推定,岡﨑 智久,理化学研究所
日本応用数理学会2025年度年会,◎Physics-Informed Neural Networkに対する距離関数・動的重みの導入と非圧縮流の逆解析への適用,出口 翔大,"筑波大学, 日本学術振興会特別研究員PD"
日本応用数理学会2025年度年会,◎Physics-Informed Neural Networkに対する距離関数・動的重みの導入と非圧縮流の逆解析への適用,浅井 光輝,九州大学
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,岡﨑 智久,理化学研究所革新知能統合研究センター
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,縣 亮一郎,海洋研究開発機構
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,加納 将行,東北大学
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,伊藤 武男,名古屋大学
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,平原 和朗,理化学研究所革新知能統合研究センター
日本応用数理学会2025年度年会,転位の形状不変性と物理深層学習を用いた地殻変動観測からの地震断層推定,上田 修功,理化学研究所革新知能統合研究センター
日本応用数理学会2025年度年会,[企画講演] コンピュータグラフィックスから折紙へと広がる研究の歩み,三谷 純,筑波大学
日本応用数理学会2025年度年会,[企画講演] 海外研究放浪記：応用可積分系編,丸野 健一,早稲田大学理工学術院
日本応用数理学会2025年度年会,◎バイパス・パーシステンス図の安定性,多田 駿介,東北大学  数理科学共創社会センター
日本応用数理学会2025年度年会,パーシステントホモロジーによる作用素論的力学系解析手法の評価,山田 泰輝,東京大学
日本応用数理学会2025年度年会,パーシステントホモロジーによる作用素論的力学系解析手法の評価,藤原 寛太郎,東京大学
日本応用数理学会2025年度年会,◎パーシステントホモロジーによる枝構造解析ツール,織田 遥向,東京大学
日本応用数理学会2025年度年会,◎パーシステントホモロジーによる枝構造解析ツール,来田 真友子,東京大学
日本応用数理学会2025年度年会,◎パーシステントホモロジーによる枝構造解析ツール,中田 庸一,"東京大学, Arithmer Inc."
日本応用数理学会2025年度年会,◎パーシステントホモロジーによる枝構造解析ツール,栗原 裕基,"東京大学, 熊本大学"
日本応用数理学会2025年度年会,カオスの流れのトポロジカルダイナミクスモデリング,坂上 貴之,京都大学大学院理学研究科
日本応用数理学会2025年度年会,カオスの流れのトポロジカルダイナミクスモデリング,松本 剛,京都大学大学院理学研究科
日本応用数理学会2025年度年会,カオスの流れのトポロジカルダイナミクスモデリング,鍛冶 静雄,九州大学マスフォアインダストリ研究所
日本応用数理学会2025年度年会,カオスの流れのトポロジカルダイナミクスモデリング,横山 知郎,埼玉大学大学院理工学研究科
日本応用数理学会2025年度年会,カオスの流れのトポロジカルダイナミクスモデリング,宇田 智紀,富山大学大学院理工学研究科
日本応用数理学会2025年度年会,◎流線トポロジカルデータ解析による二次元乱流データの判別,木村 満晃,大阪歯科大学
日本応用数理学会2025年度年会,◎流線トポロジカルデータ解析による二次元乱流データの判別,坂上 貴之,京都大学
日本応用数理学会2025年度年会,◎流線トポロジカルデータ解析による二次元乱流データの判別,竹内 博志,京都大学
日本応用数理学会2025年度年会,◎流線トポロジカルデータ解析による二次元乱流データの判別,松本 剛,京都大学
日本応用数理学会2025年度年会,◎流線トポロジカルデータ解析による二次元乱流データの判別,横山 知郎,埼玉大学
日本応用数理学会2025年度年会,◎因果解析とマグニチュードホモロジー,狩野 隼輔,東北大学 数理科学共創社会センター
日本応用数理学会2025年度年会,絡み目の絡み目ホモトピー類の分類と判定について,小鳥居 祐香,"広島大学, 理化学研究所"
日本応用数理学会2025年度年会,絡み目の絡み目ホモトピー類の分類と判定について,水澤 篤彦,早稲田大学(非常勤講師)
日本応用数理学会2025年度年会,構造物の地震応答解析を支える応用数学,堀 宗朗,国立研究開発法人海洋研究開発機構
日本応用数理学会2025年度年会,宇宙は数学の言葉で書かれている,村山 斉,東京大学 / UC Berkeley
日本応用数理学会2025年度年会,糖尿病網膜症治療薬としてプロプラノロールの効果に関する計算論的アプローチ研究,柴田 恭子,福島県立医科大学
日本応用数理学会2025年度年会,糖尿病網膜症治療薬としてプロプラノロールの効果に関する計算論的アプローチ研究,安達 隆,福島県立医科大学
日本応用数理学会2025年度年会,確率的Hodgkin–Huxleyモデルを用いたパワーアンプのメモリ効果の解析,GAO YUEYUAN,島根大学
日本応用数理学会2025年度年会,確率的Hodgkin–Huxleyモデルを用いたパワーアンプのメモリ効果の解析,Wang Siqi,ソルボンヌ大学
日本応用数理学会2025年度年会,確率的Hodgkin–Huxleyモデルを用いたパワーアンプのメモリ効果の解析,Benlarbi-Delai Aziz,ソルボンヌ大学
日本応用数理学会2025年度年会,ランダムグラフの彩色数期待値,安部 弥生,早稲田大学大学院基幹理工学研究科
日本応用数理学会2025年度年会,ランダムグラフの彩色数期待値,米田 元,早稲田大学基幹理工学部
日本応用数理学会2025年度年会,線路ネットワークの一方向性とその幾何学的ルール,秋田 大,東京大学
日本応用数理学会2025年度年会,線路ネットワークの一方向性とその幾何学的ルール,Schenz Daniel,神戸大学
日本応用数理学会2025年度年会,☆リザバーコンピューティングを用いた乱流力学系の状態推定,安東 孝恭,東京理科大学
日本応用数理学会2025年度年会,☆会話分析に基づく興味関心抽出と最適トピック提案：Zero-shot learningと感情評価の統合,白川 桃子,武蔵野大学
日本応用数理学会2025年度年会,☆会話分析に基づく興味関心抽出と最適トピック提案：Zero-shot learningと感情評価の統合,佐々木 多希子,武蔵野大学
日本応用数理学会2025年度年会,☆空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,西 康汰,九州大学大学院 マス・フォア・イノベーション連係学府
日本応用数理学会2025年度年会,☆空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,手老 篤史,九州大学 マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,☆空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,西上 幸範,北海道大学 電子科学研究所
日本応用数理学会2025年度年会,☆空間離散的な反応拡散系に基づく真正粘菌の記憶メカニズムの数理モデリング,中垣 俊之,北海道大学 電子科学研究所
日本応用数理学会2025年度年会,☆非線形力学系に対するデータ同化と軌道不安定性,尾崎 咲太,東京理科大学
日本応用数理学会2025年度年会,一般化ブール変換により生成されるランダムウォークを利用したリーマン予想の確率的検証,上原 恵理香,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,一般化ブール変換により生成されるランダムウォークを利用したリーマン予想の確率的検証,梅野 健,京都大学大学院情報学研究科
日本応用数理学会2025年度年会,☆形成・破壊粒⼦を⽤いたバイアス付き拡散律速凝集によるプラーク起因⾎管狭窄の数値 シミュレーション,門脇 大我,九州大学大学院　マス・フォア・イノベーション連係学府
日本応用数理学会2025年度年会,☆形成・破壊粒⼦を⽤いたバイアス付き拡散律速凝集によるプラーク起因⾎管狭窄の数値 シミュレーション,手老 篤史,九州大学　マス・フォア・インダストリ研究所
日本応用数理学会2025年度年会,☆Rigorous Enclosure of ODE Solutions Using Neural Operator-Based Sub- and Super-Solution,XU CHENJIAN,早稲田大学
日本応用数理学会2025年度年会,☆Rigorous Enclosure of ODE Solutions Using Neural Operator-Based Sub- and Super-Solution,田中 一成,早稲田大学
日本応用数理学会2025年度年会,☆複数のジェネレータによるエッジ置換モデルと一般化次元,坂本 信仁,北海道大学大学院理学院数学専攻
日本応用数理学会2025年度年会,☆データコラボレーション解析を用いた多機関分散fMRIデータに対する精神疾患予測,村上 洸太,筑波大学
日本応用数理学会2025年度年会,☆データコラボレーション解析を用いた多機関分散fMRIデータに対する精神疾患予測,今倉 暁,筑波大学
日本応用数理学会2025年度年会,☆データコラボレーション解析を用いた多機関分散fMRIデータに対する精神疾患予測,櫻井 鉄也,筑波大学
日本応用数理学会2025年度年会,☆リザバーコンピューティングを用いた力学系モデルの分岐予測とその定量的評価,陳 凌峰,東京理科大学大学院理学研究科応用数学専攻
日本応用数理学会2025年度年会,☆パーシステントホモロジーに基づく公共施設ネットワークの構造的脆弱性の評価,長谷川 弘貴,筑波大学大学院
日本応用数理学会2025年度年会,☆3次元格子のボロノイ多面体,岩﨑 仁冴,龍谷大学
日本応用数理学会2025年度年会,☆3次元格子のボロノイ多面体,須志田 隆道,福知山公立大学
日本応用数理学会2025年度年会,☆3次元格子のボロノイ多面体,山岸 義和,龍谷大学
日本応用数理学会2025年度年会,☆常微分方程式で記述された人口動態モデルの離散化,菅野 美優,武蔵野大学
日本応用数理学会2025年度年会,☆常微分方程式で記述された人口動態モデルの離散化,松家 敬介,武蔵野大学
日本応用数理学会2025年度年会,☆SAV法に基づく連続最適化手法のロバスト性および収束速度の改善について,佐川 遼,大阪大学
